id_empresa|nombre_empresa|id_persona|nombre_persona|tipo|participacion
56224985|Bonet-Ramón|195642026|Karen Williams|RL|0
56224985|Bonet-Ramón|24331902|Fabio López Folch|S|30
56224985|Bonet-Ramón|354523301|Susan Martin|S|15
56224985|Bonet-Ramón|946725484|Matías Martínez|S|7
286209980|Arenas Group|581873939|Amanda Gordon|RL|0
286209980|Arenas Group|165310447|Nazario Arévalo Girón|S|18
286209980|Arenas Group|497732762|Rocío Muro Tamarit|S|1
286209980|Arenas Group|344400331|Duilio Corominas Benítez|S|6
575742559|Márquez, Niño and Azorin|976255460|Crystal Barron|RL|0
575742559|Márquez, Niño and Azorin|963698206|Jacobo Falcó Pérez|S|22
575742559|Márquez, Niño and Azorin|448011551|Lupe Pol Barroso|S|20
575742559|Márquez, Niño and Azorin|659391003|Alondra Portillo-Nicolau|S|20
972708693|Bonilla-Pina|723454874|Pamela Mcintosh|RL|0
972708693|Bonilla-Pina|892208197|Joseph Collins|S|21
972708693|Bonilla-Pina|395405622|Kevin Taylor|S|8
972708693|Bonilla-Pina|704083620|Danielle Chapman|S|11
75029819|Moles Ltd|98954686|Tammy Reid|RL|0
75029819|Moles Ltd|33538634|Mathew Garcia|S|18
75029819|Moles Ltd|857255196|Hipólito Casemiro Cueto Santos|S|23
75029819|Moles Ltd|333132099|Macario Muro|S|2
313319489|Monroe-Mack|421318151|Jeffrey Valdez|RL|0
313319489|Monroe-Mack|766571792|Silvio Requena Sureda|S|8
313319489|Monroe-Mack|288006280|Kirk Christensen|S|12
313319489|Monroe-Mack|302464820|Kevin Moore|S|5
826007134|Vilalta, Rovira and Torre|40326158|Wálter de Beltrán|RL|0
826007134|Vilalta, Rovira and Torre|660635582|Eva Esparza Quiroga|S|27
826007134|Vilalta, Rovira and Torre|27647553|Brian Williams|S|3
826007134|Vilalta, Rovira and Torre|533722817|Jeffrey Williams|S|4
558999658|Rivas, Perera and Viana|241521021|Colin Jones|RL|0
558999658|Rivas, Perera and Viana|460243180|Robert Taylor|S|1
558999658|Rivas, Perera and Viana|231418731|Chucho Serrano Rozas|S|4
558999658|Rivas, Perera and Viana|387208758|Alexander Curtis|S|14
34189338|Escudero, Blanch and Torrens|970806383|Teófila Arnau Madrid|RL|0
34189338|Escudero, Blanch and Torrens|757981203|Encarna Patiño-Viana|S|17
34189338|Escudero, Blanch and Torrens|956636538|Diego Melero Donaire|S|1
34189338|Escudero, Blanch and Torrens|146887440|Tammy Brown|S|6
706601748|Spencer-Henson|131001247|Harry Cox|RL|0
706601748|Spencer-Henson|451832278|Sarah House|S|6
706601748|Spencer-Henson|483790699|Luis Ángel Peinado Pulido|S|19
706601748|Spencer-Henson|265075732|Michael Sanders|S|23
776437017|Ponce-Navarrete|718059646|Gregorio Escolano|RL|0
776437017|Ponce-Navarrete|98380675|Terri Burke|S|20
776437017|Ponce-Navarrete|24208780|Caitlin Hudson|S|29
776437017|Ponce-Navarrete|976255199|Julio César Mercader Pinto|S|3
17510896|Borja Ltd|449672037|Abigail Mccormick|RL|0
17510896|Borja Ltd|487528507|Matías del Andreu|S|2
