id_cliente|nombre_cliente|nacionalidad|tipo_id|tipo_transaccion|pais_origen|pais_destino|producto_servicio|fecha_transaccion|monto_transaccion|cantidad|forma_pago|moneda|numero_cuenta|titular_cuenta
56224985|Bonet-Ramón|Chile|PJ|Exportaciones|Colombia|Paraguay|Productos para deportes, como ropa deportiva y uniformes|2022-08-26|597047250.73|383|Cheque|USD|ES8131743527679226796321|Efraín Cañas Lillo
56224985|Bonet-Ramón|Chile|PJ|Importaciones|Argentina|Colombia|maquinarias|2020-06-18|714856269.24|217|Cheque|COP|ES6241469109860498229431|Cecilio Rico Verdú
56224985|Bonet-Ramón|Chile|PJ|Importaciones|Argentina|Colombia|insumos|2022-01-13|898999674.62|979|Cheque|USD|ES1343530742232693634844|Cecilio Rico Verdú
56224985|Bonet-Ramón|Chile|PJ|Exportaciones|Colombia|Perú|Ropa y accesorios de moda|2020-10-27|403534519.9|468|Efectivo|EUR|ES9308047024769201399441|Cecilio Rico Verdú
56224985|Bonet-Ramón|Chile|PJ|Exportaciones|Colombia|Burkina Faso|Tejidos y telas|2019-07-29|330506639.56|891|Cheque|COP|ES9737162726448130612135|Patricia Campillo Cases
56224985|Bonet-Ramón|Chile|PJ|Importaciones|China|Colombia|telas|2021-03-07|110414903.57|608|Efectivo|COP|ES0235727539252771358676|Leonor Naranjo
56224985|Bonet-Ramón|Chile|PJ|Exportaciones|Colombia|Uruguay|Tejidos y telas|2023-05-01|783843659.42|678|Tarjeta de crédito|EUR|ES3797289470349507250217|Patricia Campillo Cases
56224985|Bonet-Ramón|Chile|PJ|Importaciones|Nicaragua|Colombia|hilos|2021-02-09|440480603.01|660|Tarjeta de crédito|COP|ES1121304748022886384797|Efraín Cañas Lillo
56224985|Bonet-Ramón|Chile|PJ|Exportaciones|Colombia|Nicaragua|Ropa y accesorios de moda|2022-06-16|637050254.88|810|Transferencia bancaria|COP|ES1801538655047614051057|Saturnina Diéguez Alonso
56224985|Bonet-Ramón|Chile|PJ|Importaciones|Brasil|Colombia|hilos|2021-04-13|680577508.83|327|Efectivo|COP|ES1652799235684329330906|Alfonso Hoz Ruano
